,tweetid,favorite_count,retweet_count,lang,source,followers_count
403,822244816520155136,35366,10019,en,Twitter for iPhone,8784792
404,822163064745328640,0,4842,en,Twitter for iPhone,8784792
405,821886076407029760,11460,2351,en,Twitter for iPhone,8784792
406,821813639212650496,0,3400,en,Twitter for iPhone,8784792
407,821765923262631936,8509,1678,en,Twitter for iPhone,8784792
408,821522889702862852,8135,1790,en,Twitter for iPhone,8784792
409,821421320206483457,0,5674,en,Twitter for iPhone,8784792
410,821407182352777218,11922,4403,en,Twitter for iPhone,8784792
411,821153421864615936,258,10,en,Twitter for iPhone,8784792
412,821149554670182400,8752,2021,en,Twitter for iPhone,8784792
413,821107785811234820,9717,2166,en,Twitter for iPhone,8784792
414,821044531881721856,12815,2314,en,Twitter for iPhone,8784792
415,820837357901512704,0,6836,en,Twitter for iPhone,8784792
416,820749716845686786,31962,10045,en,Twitter for iPhone,8784792
417,820690176645140481,12362,3281,en,Twitter for iPhone,8784792
418,820494788566847489,0,572,en,Twitter for iPhone,8784792
419,820446719150292993,0,2606,en,Twitter for iPhone,8784792
420,820314633777061888,3389,572,en,Twitter for iPhone,8784792
421,820078625395449857,20073,6393,en,Twitter for iPhone,8784792
422,820013781606658049,0,1194,en,Twitter for iPhone,8784792
423,819952236453363712,5404,1194,en,Twitter for iPhone,8784792
424,819924195358416896,13067,4942,en,Twitter for iPhone,8784792
425,819711362133872643,13576,3165,en,Twitter for iPhone,8784792
426,819588359383371776,9760,2020,en,Twitter for iPhone,8784792
427,819347104292290561,7315,1227,en,Twitter for iPhone,8784792
428,819238181065359361,2301,412,en,Twitter Web Client,8784792
429,819227688460238848,23401,6836,en,Twitter for iPhone,8784221
430,819015337530290176,0,37413,en,Twitter for iPhone,8784792
431,819015331746349057,0,19248,en,Twitter for iPhone,8784792
432,819006400881917954,45889,19248,en,Twitter for iPhone,8784792
433,819004803107983360,88058,37413,en,Twitter for iPhone,8784792
434,818646164899774465,0,21349,en,Twitter for iPhone,8784792
435,818627210458333184,22729,7661,en,Twitter for iPhone,8784792
436,818614493328580609,9989,2609,en,Twitter for iPhone,8784792
437,818588835076603904,0,6257,en,Twitter for iPhone,8784792
438,818536468981415936,11048,2502,en,Twitter for iPhone,8784792
439,818307523543449600,0,8230,en,Twitter for iPhone,8784792
440,818259473185828864,11178,2307,en,Twitter for iPhone,8784792
441,818145370475810820,12475,2614,en,Twitter for iPhone,8784792
442,817908911860748288,4929,818,en,Twitter for iPhone,8784792
443,817827839487737858,52433,27524,en,Twitter for iPhone,8784792
444,817777686764523521,10907,2738,en,Twitter for iPhone,8784792
445,817536400337801217,11948,3020,en,Twitter for iPhone,8784792
446,817502432452313088,0,3451,en,Twitter for iPhone,8784792
447,817423860136083457,34384,14981,en,Twitter for iPhone,8784792
448,817415592588222464,5688,969,en,Twitter for iPhone,8784792
